ident,latitude,longitude,country_code,country_name
ALMOL,35.66305555555555,69.75833333333334,AF,Afghanistan
AMDAR,37.208333333333336,67.34333333333333,AF,Afghanistan
ANVES,34.83858055555556,69.19133055555555,AF,Afghanistan
ASLUM,31.016666666666666,66.61666666666666,AF,Afghanistan
ASMOP,35.095,69.42016666666667,AF,Afghanistan
BAGNI,32.625,64.44166666666668,AF,Afghanistan
BENUL,31.56458888888889,65.94329166666667,AF,Afghanistan
BGM06,35.01855833333333,69.33761666666666,AF,Afghanistan
BGM13,34.752097222222226,69.12240277777776,AF,Afghanistan
BGM17,34.68367222222222,69.16960555555556,AF,Afghanistan
BGM20,34.69685833333333,69.1274111111111,AF,Afghanistan
BGM23,34.605980555555554,69.03229444444445,AF,Afghanistan
BGM99,34.69134722222222,69.14296944444445,AF,Afghanistan
BOTAN,36.269444444444446,67.5111111111111,AF,Afghanistan
BOXUD,33.525508333333335,69.76996388888888,AF,Afghanistan
CAMUX,34.74957222222222,69.14212777777779,AF,Afghanistan
CANUP,31.725094444444444,66.217125,AF,Afghanistan
CEGAT,31.45276388888889,65.75055555555555,AF,Afghanistan
CEKAS,31.571180555555554,65.95781944444445,AF,Afghanistan
CHARN,35.168575,61.135358333333336,AF,Afghanistan
CIDVU,34.55593333333333,69.01670277777778,AF,Afghanistan
CIMAB,34.59002777777778,69.11816388888889,AF,Afghanistan
CODIX,31.440472222222223,65.73769722222222,AF,Afghanistan
COKIB,36.79666666666667,69.38333333333334,AF,Afghanistan
CORBN,34.509233333333334,69.43123611111112,AF,Afghanistan
COSMO,34.23787222222222,69.125525,AF,Afghanistan
DANOD,32.40793611111111,62.01090833333333,AF,Afghanistan
DAPUB,34.674305555555556,69.30241388888889,AF,Afghanistan
DARUS,32.29555555555555,66.12694444444443,AF,Afghanistan
DASUN,34.814836111111106,69.18457222222223,AF,Afghanistan
DAVER,29.571666666666665,64.67166666666667,AF,Afghanistan
DAXUP,34.983333333333334,63.108333333333334,AF,Afghanistan
DEPKI,34.70928055555556,69.12381111111111,AF,Afghanistan
DESRT,34.52553888888889,69.4125138888889,AF,Afghanistan
DILAM,32.175,63.4,AF,Afghanistan
DIRT,31.090333333333334,65.17083333333333,AF,Afghanistan
DOLAN,31.841666666666665,64.65,AF,Afghanistan
DOLME,35.01833333333333,69.33796944444444,AF,Afghanistan
DOMDE,34.40445833333333,69.15372222222223,AF,Afghanistan
DOSHI,35.6,68.44166666666668,AF,Afghanistan
DOVKE,31.627955555555555,66.05430277777778,AF,Afghanistan
DUPUG,31.295930555555557,65.47338055555555,AF,Afghanistan
EGPAN,38.416666666666664,70.73333333333333,AF,Afghanistan
